name;train_test;label;img_size;min_pixel;max_pixel
C118P79ThinF_IMG_20151002_105018_cell_150.png;train;parasitized;(112, 115);0;224
C13NThinF_IMG_20150614_131318_cell_179.png;train;parasitized;(115, 127);0;226
C189P150ThinF_IMG_20151203_142224_cell_84.png;train;parasitized;(118, 121);0;199
C91P52ThinF_IMG_20150821_123116_cell_189.png;train;parasitized;(148, 169);0;226
C84P45ThinF_IMG_20150818_101226_cell_98.png;train;parasitized;(136, 106);0;222
C144P105ThinF_IMG_20151015_163432_cell_310.png;train;parasitized;(103, 91);0;192
C136P97ThinF_IMG_20151005_141803_cell_131.png;train;parasitized;(136, 127);0;227
C60P21thinF_IMG_20150804_105034_cell_105.png;train;parasitized;(160, 148);0;228
C176P137NThinF_IMG_20151201_122708_cell_126.png;train;parasitized;(136, 160);0;202
C136P97ThinF_IMG_20151005_142437_cell_119.png;train;parasitized;(139, 112);0;228
C173P134NThinF_IMG_20151130_115733_cell_227.png;train;parasitized;(136, 121);0;208
C85P46ThinF_IMG_20150820_105154_cell_221.png;train;parasitized;(166, 139);0;227
C132P93ThinF_IMG_20151004_151733_cell_154.png;train;parasitized;(130, 118);0;234
C101P62ThinF_IMG_20150918_151507_cell_49.png;train;parasitized;(142, 130);0;223
C116P77ThinF_IMG_20150930_171844_cell_100.png;train;parasitized;(124, 133);0;225
C184P145ThinF_IMG_20151203_103114_cell_149.png;train;parasitized;(118, 172);0;204
C132P93ThinF_IMG_20151004_152045_cell_111.png;train;parasitized;(130, 127);0;228
C68P29N_ThinF_IMG_20150819_134112_cell_153.png;train;parasitized;(145, 157);0;228
C116P77ThinF_IMG_20150930_171844_cell_114.png;train;parasitized;(127, 115);0;232
C171P132ThinF_IMG_20151119_153150_cell_222.png;train;parasitized;(145, 133);0;213
C99P60ThinF_IMG_20150918_141620_cell_42.png;train;parasitized;(145, 154);0;228
C176P137NThinF_IMG_20151201_122708_cell_132.png;train;parasitized;(130, 145);0;213
C175P136NThinF_IMG_20151127_141325_cell_219.png;train;parasitized;(127, 133);0;208
C132P93ThinF_IMG_20151004_151733_cell_140.png;train;parasitized;(136, 109);0;237
C118P79ThinF_IMG_20151002_105018_cell_144.png;train;parasitized;(130, 127);0;231
C51AP12thinF_IMG_20150724_153313_cell_109.png;train;parasitized;(139, 124);0;221
C189P150ThinF_IMG_20151203_142224_cell_90.png;train;parasitized;(121, 103);0;210
C144P105ThinF_IMG_20151015_163432_cell_304.png;train;parasitized;(151, 139);0;201
C136P97ThinF_IMG_20151005_141803_cell_125.png;train;parasitized;(112, 100);0;214
C98P59ThinF_IMG_20150917_154235_cell_209.png;train;parasitized;(139, 151);0;227
C174P135NThinF_IMG_20151127_135512_cell_180.png;train;parasitized;(133, 142);0;218
C172P133ThinF_IMG_20151119_155019_cell_241.png;train;parasitized;(124, 133);0;202
C50P11thinF_IMG_20150724_115651_cell_190.png;train;parasitized;(130, 127);0;217
C132P93ThinF_IMG_20151004_152505_cell_149.png;train;parasitized;(130, 118);0;237
C184P145ThinF_IMG_20151203_102721_cell_1.png;train;parasitized;(148, 136);0;207
C182P143NThinF_IMG_20151201_172057_cell_143.png;train;parasitized;(112, 109);0;198
C101P62ThinF_IMG_20150918_151507_cell_75.png;train;parasitized;(145, 154);0;230
C81P42ThinF_IMG_20150817_120351_cell_190.png;train;parasitized;(184, 187);0;222
C177P138NThinF_IMG_20151201_143704_cell_176.png;train;parasitized;(124, 115);0;212
C184P145ThinF_IMG_20151203_103114_cell_175.png;train;parasitized;(112, 154);0;214
C80P41ThinF_IMG_20150817_110834_cell_145.png;train;parasitized;(136, 124);0;228
C84P45ThinF_IMG_20150818_102325_cell_93.png;train;parasitized;(118, 130);0;218
C136P97ThinF_IMG_20151005_142437_cell_125.png;train;parasitized;(112, 106);0;220
C132P93ThinF_IMG_20151004_151733_cell_168.png;train;parasitized;(145, 142);0;228
C97P58ThinF_IMG_20150917_152225_cell_23.png;train;parasitized;(139, 136);0;227
C120P81ThinF_IMG_20151002_130715_cell_187.png;train;parasitized;(127, 124);0;224
C136P97ThinF_IMG_20151005_142437_cell_131.png;train;parasitized;(142, 142);0;231
C80P41ThinF_IMG_20150817_112329_cell_8.png;train;parasitized;(133, 115);0;237
C119P80ThinF_IMG_20151002_123043_cell_34.png;train;parasitized;(112, 118);0;227
C175P136NThinF_IMG_20151127_141325_cell_225.png;train;parasitized;(208, 154);0;214
C68P29N_ThinF_IMG_20150819_133236_cell_136.png;train;parasitized;(136, 133);0;225
C120P81ThinF_IMG_20151002_130715_cell_193.png;train;parasitized;(118, 100);0;221
C84P45ThinF_IMG_20150818_101146_cell_101.png;train;parasitized;(115, 136);0;223
C101P62ThinF_IMG_20150918_151507_cell_61.png;train;parasitized;(175, 124);0;233
C184P145ThinF_IMG_20151203_103114_cell_161.png;train;parasitized;(154, 121);0;210
C81P42ThinF_IMG_20150817_120351_cell_184.png;train;parasitized;(124, 130);0;228
C116P77ThinF_IMG_20150930_171844_cell_128.png;train;parasitized;(121, 142);0;229
C183P144NThinF_IMG_20151201_222119_cell_140.png;train;parasitized;(127, 130);0;214
C64P25N_ThinF_IMG_20150818_153401_cell_194.png;train;parasitized;(109, 112);0;229
C132P93ThinF_IMG_20151004_152045_cell_139.png;train;parasitized;(133, 127);0;231
C136P97ThinF_IMG_20151005_141803_cell_119.png;train;parasitized;(124, 127);0;225
C67P28N_ThinF_IMG_20150819_121456_cell_249.png;train;parasitized;(157, 190);0;223
C182P143NThinF_IMG_20151201_172057_cell_157.png;train;parasitized;(124, 133);0;208
C76P37ThinF_IMG_20150815_165356_cell_180.png;train;parasitized;(148, 130);0;224
C176P137NThinF_IMG_20151201_120612_cell_10.png;train;parasitized;(142, 130);0;214
C116P77ThinF_IMG_20150930_171558_cell_98.png;train;parasitized;(154, 139);0;235
C136P97ThinF_IMG_20151005_143743_cell_106.png;train;parasitized;(133, 115);0;219
C182P143NThinF_IMG_20151201_172759_cell_43.png;train;parasitized;(121, 112);0;196
C189P150ThinF_IMG_20151203_142113_cell_91.png;train;parasitized;(112, 124);0;213
C175P136NThinF_IMG_20151127_142009_cell_241.png;train;parasitized;(139, 154);0;210
C77P38ThinF_IMG_20150601_155125_cell_131.png;train;parasitized;(118, 124);0;222
C174P135NThinF_IMG_20151127_135311_cell_206.png;train;parasitized;(130, 124);0;208
C51AP12thinF_IMG_20150724_154330_cell_126.png;train;parasitized;(184, 118);0;218
C130P91ThinF_IMG_20151004_141428_cell_125.png;train;parasitized;(133, 148);0;235
C39P4thinF_original_IMG_20150622_105554_cell_8.png;train;parasitized;(130, 139);0;219
C99P60ThinF_IMG_20150918_142128_cell_102.png;train;parasitized;(139, 148);0;230
C80P41ThinF_IMG_20150817_110957_cell_143.png;train;parasitized;(133, 148);0;222
C45P6ThinF_IMG_20151130_155110_cell_195.png;train;parasitized;(121, 130);0;223
C59P20thinF_IMG_20150803_113430_cell_32.png;train;parasitized;(154, 142);0;236
C181P142ThinF_IMG_20151127_160434_cell_165.png;train;parasitized;(127, 142);0;207
C132P93ThinF_IMG_20151004_151733_cell_183.png;train;parasitized;(118, 115);0;242
C137P98ThinF_IMG_20151005_162648_cell_2.png;train;parasitized;(133, 133);0;235
C154P115ThinF_IMG_20151115_141336_cell_235.png;train;parasitized;(133, 118);0;216
C48P9thinF_IMG_20150721_161412_cell_191.png;train;parasitized;(160, 139);0;219
C181P142ThinF_IMG_20151127_160434_cell_171.png;train;parasitized;(121, 124);0;204
C93P54ThinF_IMG_20150821_164024_cell_158.png;train;parasitized;(169, 151);0;230
C39P4thinF_original_IMG_20150622_111942_cell_8.png;train;parasitized;(133, 127);0;228
C99P60ThinF_IMG_20150918_142128_cell_116.png;train;parasitized;(100, 142);0;227
C127P88ThinF_IMG_20151004_111436_cell_123.png;train;parasitized;(124, 151);0;220
C144P105ThinF_IMG_20151015_160529_cell_277.png;train;parasitized;(139, 145);0;198
C130P91ThinF_IMG_20151004_142109_cell_135.png;train;parasitized;(151, 148);0;235
C136P97ThinF_IMG_20151005_144449_cell_3.png;train;parasitized;(133, 115);0;214
C176P137NThinF_IMG_20151201_114035_cell_138.png;train;parasitized;(178, 130);0;212
C130P91ThinF_IMG_20151004_141428_cell_131.png;train;parasitized;(169, 142);0;233
C128P89ThinF_IMG_20151004_131030_cell_166.png;train;parasitized;(142, 121);0;233
C80P41ThinF_IMG_20150817_111943_cell_18.png;train;parasitized;(124, 124);0;225
C68P29N_ThinF_IMG_20150819_134625_cell_14.png;train;parasitized;(142, 130);0;236
C189P150ThinF_IMG_20151203_142113_cell_85.png;train;parasitized;(124, 109);0;192
C133P94ThinF_IMG_20151004_155331_cell_116.png;train;parasitized;(112, 121);0;235
C182P143NThinF_IMG_20151201_172057_cell_180.png;train;parasitized;(124, 124);0;209
C133P94ThinF_IMG_20151004_154717_cell_136.png;train;parasitized;(142, 136);0;236
C91P52ThinF_IMG_20150821_123116_cell_176.png;train;parasitized;(148, 157);0;228
C81P42ThinF_IMG_20150817_121113_cell_176.png;train;parasitized;(127, 124);0;220
C118P79ThinF_IMG_20151002_104831_cell_150.png;train;parasitized;(160, 148);0;234
C181P142ThinF_IMG_20151127_160434_cell_159.png;train;parasitized;(127, 139);0;216
C82P43ThinF_IMG_20150817_123500_cell_236.png;train;parasitized;(148, 133);0;224
C84P45ThinF_IMG_20150818_104849_cell_17.png;train;parasitized;(154, 118);0;221
C102P63ThinF_IMG_20150918_161826_cell_170.png;train;parasitized;(124, 124);0;233
C159P120ThinF_IMG_20151115_190812_cell_242.png;train;parasitized;(127, 127);0;213
C124P85ThinF_IMG_20151002_153825_cell_194.png;train;parasitized;(142, 130);0;226
C63P24N_ThinF_IMG_20150818_144456_cell_179.png;train;parasitized;(148, 139);0;234
C174P135NThinF_IMG_20151127_135435_cell_206.png;train;parasitized;(118, 133);0;219
C180P141NThinF_IMG_20151201_170021_cell_27.png;train;parasitized;(163, 136);0;203
C182P143NThinF_IMG_20151201_172842_cell_32.png;train;parasitized;(109, 121);0;203
C159P120ThinF_IMG_20151115_190421_cell_207.png;train;parasitized;(115, 121);0;212
C180P141NThinF_IMG_20151201_165453_cell_13.png;train;parasitized;(154, 130);0;206
C174P135NThinF_IMG_20151127_135435_cell_212.png;train;parasitized;(124, 109);0;215
C175P136NThinF_IMG_20151127_142326_cell_240.png;train;parasitized;(154, 139);0;212
C182P143NThinF_IMG_20151201_172842_cell_26.png;train;parasitized;(115, 112);0;202
C180P141NThinF_IMG_20151201_170021_cell_33.png;train;parasitized;(133, 130);0;211
C99P60ThinF_IMG_20150918_142334_cell_43.png;train;parasitized;(172, 178);0;223
C82P43ThinF_IMG_20150817_123500_cell_222.png;train;parasitized;(121, 121);0;221
C129P90ThinF_IMG_20151004_134520_cell_122.png;train;parasitized;(154, 145);0;228
C118P79ThinF_IMG_20151002_104831_cell_144.png;train;parasitized;(133, 157);0;232
C66P27N_ThinF_IMG_20150818_164008_cell_156.png;train;parasitized;(115, 121);0;226
C88P49ThinF_IMG_20150820_153042_cell_214.png;train;parasitized;(172, 163);0;231
C133P94ThinF_IMG_20151004_154717_cell_122.png;train;parasitized;(130, 133);0;232
C39P4thinF_original_IMG_20150622_110352_cell_105.png;train;parasitized;(127, 112);0;212
C186P147NThinF_IMG_20151203_150222_cell_171.png;train;parasitized;(139, 142);0;203
C186P147NThinF_IMG_20151203_150557_cell_192.png;train;parasitized;(169, 133);0;202
C116P77ThinF_IMG_20150930_171809_cell_65.png;train;parasitized;(115, 121);0;222
C74P35_ThinF_IMG_20150815_114555_cell_130.png;train;parasitized;(118, 136);0;228
C116P77ThinF_IMG_20150930_171448_cell_100.png;train;parasitized;(124, 133);0;234
C184P145ThinF_IMG_20151203_103637_cell_175.png;train;parasitized;(151, 163);0;205
C113P74ThinF_IMG_20150930_134429_cell_182.png;train;parasitized;(106, 118);0;228
C99P60ThinF_IMG_20150918_141520_cell_90.png;train;parasitized;(163, 163);0;232
C56P17thinF_IMG_20150728_160537_cell_152.png;train;parasitized;(127, 124);0;224
C180P141NThinF_IMG_20151201_165659_cell_40.png;train;parasitized;(106, 118);0;202
C137P98ThinF_IMG_20151005_161659_cell_5.png;train;parasitized;(133, 136);0;227
C87P48ThinF_IMG_20150820_144855_cell_183.png;train;parasitized;(181, 196);0;237
C110P71ThinF_IMG_20150930_105559_cell_34.png;train;parasitized;(121, 148);0;224
C143P104ThinF_IMG_20151005_230100_cell_160.png;train;parasitized;(175, 178);0;234
C68P29N_ThinF_IMG_20150819_134830_cell_70.png;train;parasitized;(157, 145);0;230
C101P62ThinF_IMG_20150923_165215_cell_17.png;train;parasitized;(124, 130);0;224
C184P145ThinF_IMG_20151203_103637_cell_161.png;train;parasitized;(121, 157);0;208
C116P77ThinF_IMG_20150930_171448_cell_114.png;train;parasitized;(121, 130);0;237
C186P147NThinF_IMG_20151203_150859_cell_166.png;train;parasitized;(172, 136);0;214
C116P77ThinF_IMG_20150930_171809_cell_71.png;train;parasitized;(106, 124);0;233
C101P62ThinF_IMG_20150923_170344_cell_78.png;train;parasitized;(145, 136);0;229
C186P147NThinF_IMG_20151203_150557_cell_186.png;train;parasitized;(151, 127);0;211
C129P90ThinF_IMG_20151004_134306_cell_129.png;train;parasitized;(133, 130);0;227
C174P135NThinF_IMG_20151127_135554_cell_186.png;train;parasitized;(124, 136);0;210
C116P77ThinF_IMG_20150930_171809_cell_59.png;train;parasitized;(130, 112);0;229
C179P140ThinF_IMG_20151127_153852_cell_167.png;train;parasitized;(118, 115);0;215
